categoria_id;producto_id
5;26
5;27
4;70
1;90
8;112
12;113
12;114
12;115
8;123
8;124
3;125
8;126
8;127
5;161
5;162
5;163
2;184
12;185
12;186
12;187
12;188
12;189
12;190
4;199
9;225
9;228
8;245
8;248
8;251
9;276
9;277
9;278
9;316
9;321
9;325
1;330
4;369
4;371
12;391
12;392
4;409
4;410
4;411
4;438
4;442
17;447
6;448
4;449
4;450
4;454
4;455
4;482
4;524
4;525
4;526
4;527
5;529
5;530
4;531
4;546
4;548
4;549
4;559
4;560
4;561
14;567
4;589
4;614
12;615
12;616
12;617
12;618
12;619
12;648
5;663
8;669
12;674
4;675
5;676
4;700
4;702
8;716
8;718
4;728
4;732
4;744
4;746
4;750
4;761
12;762
4;766
4;768
4;769
4;770
4;771
4;779
4;783
12;797
4;798
1;823
4;825
1;826
1;827
4;852
4;855
4;881
2;906
4;923
4;929
12;937
12;939
4;940
12;942
12;945
4;973
4;982
4;1000
4;1047
12;1147
12;1151
12;1152
8;1155
12;1159
12;112
4;113
8;187
8;188
8;189
8;190
4;615
4;616
4;617
4;618
4;619
12;761
4;797
5;798
4;1147
4;1152
1;1
1;2
1;3
1;4
1;5
1;6
1;7
1;8
1;9
1;10
1;11
2;14
2;15
3;16
2;17
2;18
2;19
2;20
4;21
5;22
5;23
5;24
5;25
4;26
4;27
5;28
5;29
2;30
5;31
5;32
5;33
5;34
6;36
6;37
6;40
6;41
6;44
6;45
6;46
6;49
6;50
6;51
6;52
6;53
6;54
6;55
6;56
6;57
6;58
1;59
1;60
2;62
2;63
2;64
2;65
7;66
7;67
7;68
2;69
2;70
5;71
3;72
6;73
6;74
2;75
8;76
9;77
9;78
9;79
10;80
10;81
10;82
5;83
5;84
5;85
5;86
5;87
5;88
1;89
4;90
1;91
1;92
1;93
1;95
10;96
2;97
2;98
1;99
1;100
1;101
1;102
1;103
1;104
1;105
1;106
1;107
1;108
1;109
1;111
4;112
8;113
8;114
8;115
1;116
1;117
1;118
6;119
3;120
3;121
3;122
3;123
3;124
4;125
3;126
3;127
1;128
1;129
1;130
1;131
1;132
1;133
1;134
11;135
11;136
5;137
5;142
5;143
5;144
5;145
5;146
5;147
5;148
5;149
5;151
5;152
5;153
5;154
5;155
5;156
5;157
5;158
5;159
5;160
4;161
4;162
4;163
5;164
12;165
12;166
12;167
12;168
10;169
1;171
1;173
9;174
9;175
9;176
9;177
9;178
9;179
9;180
9;181
9;182
9;183
4;184
8;185
8;186
4;187
4;188
4;189
4;190
6;191
6;192
2;193
9;194
9;195
9;196
9;197
9;198
2;199
1;200
1;219
1;220
1;221
9;222
9;223
9;224
4;225
9;226
9;227
4;228
9;229
9;230
9;231
1;232
2;233
14;234
14;235
14;236
14;237
14;238
14;239
14;240
14;241
8;242
8;243
8;244
4;245
8;246
8;247
4;248
4;249
8;250
4;251
8;252
6;254
6;255
6;256
6;257
6;258
6;259
6;260
6;262
6;263
3;267
3;268
3;269
3;270
3;271
3;272
6;273
3;274
4;275
4;276
4;277
4;278
4;279
4;280
9;281
9;282
9;283
9;284
9;285
9;286
9;287
9;288
9;289
9;290
9;291
9;292
9;293
9;294
9;295
9;296
9;297
9;298
9;299
9;300
9;301
9;302
1;303
9;304
9;305
5;306
5;307
5;308
5;309
5;310
5;311
5;312
5;313
5;314
4;315
4;316
9;317
9;318
9;319
9;320
4;321
9;322
9;323
9;324
4;325
9;326
9;327
9;328
9;329
4;330
3;331
3;332
3;333
9;334
9;335
6;336
6;337
6;338
6;339
6;340
6;341
6;342
6;343
6;344
6;345
6;346
6;347
6;348
6;349
6;350
6;351
10;352
10;353
10;354
5;355
1;356
7;358
7;359
7;360
1;361
16;362
16;363
16;364
16;365
16;366
16;367
2;368
2;369
2;370
2;371
2;372
4;373
4;374
6;375
1;376
1;377
1;378
1;379
1;380
1;381
1;382
1;383
1;384
1;385
14;387
12;390
1;391
1;392
6;393
6;394
6;395
6;396
14;397
14;398
14;399
14;400
14;401
14;402
14;403
14;404
14;405
4;406
3;407
3;408
3;409
3;410
3;411
1;412
1;413
3;414
3;415
3;416
3;417
3;418
3;419
4;420
3;421
14;422
14;423
14;424
14;425
14;426
14;427
14;428
4;429
4;430
4;431
4;432
10;433
10;434
10;435
2;436
4;437
2;438
2;439
3;440
3;441
3;442
3;443
10;444
2;445
2;446
6;447
17;448
5;449
5;450
5;451
5;452
5;453
5;454
5;455
5;456
4;457
14;458
14;459
14;460
14;461
14;462
14;463
14;464
14;465
14;466
1;467
1;468
1;469
14;470
4;471
10;472
10;473
10;474
10;475
10;476
10;477
10;478
10;479
1;480
1;482
1;483
9;485
3;486
3;487
3;488
3;489
3;490
3;491
3;492
3;493
3;494
3;495
3;496
3;497
3;498
3;499
3;500
3;501
3;502
3;503
3;504
3;505
3;506
3;507
3;508
3;509
3;510
3;511
3;512
3;513
3;514
3;515
3;516
3;517
3;518
3;519
3;520
3;521
3;522
3;523
5;524
5;525
5;526
5;527
5;528
4;529
4;530
5;531
5;532
5;533
5;534
5;535
5;536
5;537
5;538
5;539
5;540
5;541
5;542
5;543
5;544
5;545
5;546
5;547
5;548
5;549
5;550
4;551
5;552
5;553
5;554
5;555
5;556
5;557
5;558
5;559
5;560
5;561
5;562
4;562
7;564
7;565
14;566
4;567
1;571
1;572
1;573
1;574
6;575
6;576
6;577
6;578
6;579
5;580
5;581
5;582
5;583
3;584
3;585
9;586
9;587
9;588
8;589
8;590
1;591
1;592
1;593
11;594
11;595
11;596
11;597
11;598
9;599
9;600
11;601
11;602
11;603
11;604
11;605
11;606
11;607
11;608
11;609
11;610
11;611
11;612
6;613
9;614
1;615
1;616
1;617
8;618
8;619
2;620
2;622
14;623
14;624
14;625
4;626
4;627
10;629
10;630
10;631
10;632
10;633
10;634
10;635
10;636
10;637
10;638
10;639
10;640
14;641
14;642
10;643
10;644
4;645
8;646
8;647
4;648
5;649
5;650
5;651
5;652
5;653
5;654
5;655
5;656
5;657
5;658
5;659
5;660
8;661
5;662
8;663
5;664
5;665
5;666
5;667
5;669
5;670
8;671
5;672
5;673
5;674
5;675
5;676
8;677
5;678
5;679
5;680
5;681
5;682
5;683
5;684
5;685
5;686
5;687
1;688
1;689
12;690
8;691
8;692
8;693
8;694
8;695
8;696
8;697
8;698
8;699
8;700
4;701
8;702
4;703
8;704
8;705
8;706
8;707
8;708
8;709
8;710
12;711
12;712
2;713
5;714
8;715
16;716
16;717
16;718
16;719
16;720
8;721
8;722
8;723
8;724
8;725
8;726
1;727
1;728
10;729
10;730
9;731
9;732
1;733
1;734
1;735
1;736
1;737
1;738
3;739
9;740
3;741
3;742
3;744
3;745
3;746
3;747
3;748
3;749
3;750
3;751
4;752
12;753
14;754
14;755
14;756
14;757
14;758
12;759
12;760
8;761
8;762
9;763
9;764
1;765
1;766
9;768
9;769
9;770
9;771
9;772
9;773
9;774
9;775
9;776
4;777
4;778
9;779
9;780
9;781
8;782
8;783
12;785
12;786
1;787
4;788
10;789
1;790
5;791
5;792
5;793
5;794
5;795
5;796
5;797
12;798
5;799
4;800
2;801
2;802
2;803
4;804
4;805
2;806
14;807
14;808
14;809
14;810
14;811
14;812
2;813
9;814
3;815
9;816
9;817
9;818
2;819
1;820
3;822
8;823
1;824
1;825
8;826
8;827
1;828
1;829
1;830
3;851
3;852
3;853
3;854
3;855
3;856
3;857
3;853
3;859
3;860
3;861
3;862
3;863
3;864
3;865
3;866
3;867
3;868
3;869
3;870
3;871
3;872
3;873
3;874
3;875
3;876
3;877
3;878
3;879
3;880
3;881
3;882
3;883
3;884
3;885
3;886
3;887
3;888
3;889
3;890
1;891
10;892
10;893
10;894
10;895
10;896
10;897
1;898
1;899
1;900
1;901
1;902
9;903
2;904
4;905
4;906
1;907
1;908
1;909
17;910
17;911
17;912
17;913
17;914
17;915
17;916
17;917
17;918
1;919
3;920
4;921
3;922
3;923
1;924
1;925
8;926
1;927
1;928
1;929
1;930
1;931
1;932
3;933
3;934
4;935
4;936
1;937
12;938
1;939
12;940
12;941
8;942
12;943
12;944
8;945
12;946
12;947
12;948
12;949
9;950
10;951
10;952
4;953
10;954
3;955
6;957
6;959
6;960
6;961
6;966
6;969
3;971
6;972
1;973
1;974
1;975
2;976
2;977
1;978
1;979
1;980
1;981
1;982
1;984
1;985
1;986
1;987
1;989
1;990
1;992
1;993
1;994
1;995
1;996
1;997
1;998
1;999
1;1000
1;1001
1;1002
10;1003
10;1004
1;1005
4;1006
1;1007
4;1008
4;1009
4;1010
14;1011
14;1013
14;1014
14;1015
14;1016
14;1017
14;1018
14;1019
14;1020
14;1021
8;1026
1;1027
1;1029
10;1031
10;1032
10;1033
4;1034
4;1035
4;1036
2;1037
2;1038
2;1039
2;1040
2;1041
2;1042
14;1043
2;1044
2;1045
2;1046
5;1047
5;1048
5;1049
5;1050
5;1051
5;1052
5;1053
5;1054
5;1055
5;1056
5;1057
5;1058
5;1059
5;1060
5;1061
5;1062
5;1063
5;1064
5;1065
5;1066
5;1067
5;1068
5;1069
1;1070
6;1071
6;1073
4;1074
1;1075
3;1076
3;1077
3;1078
3;1079
3;1080
3;1081
10;1082
10;1083
2;1084
2;1085
1;1086
1;1087
10;1088
6;1089
1;1090
6;1092
6;1093
6;1094
6;1095
6;1096
6;1097
6;1098
6;1099
6;1100
6;1101
6;1102
6;1103
6;1104
6;1105
6;1106
6;1107
6;1108
6;1109
6;1110
6;1111
6;1112
6;1113
6;1114
6;1115
6;1116
6;1117
6;1118
6;1119
6;1120
6;1121
6;1122
6;1123
6;1124
6;1125
6;1126
6;1135
6;1142
6;1143
6;1146
8;1147
12;1148
12;1149
12;1150
8;1151
8;1152
12;1153
12;1154
12;1155
12;1156
12;1157
12;1158
8;1159
12;1160
12;1161
3;1162
4;1163
3;1164
3;1165
