nombre;presentacion;marca;diferenciador;precio;imagen
Ablandacarnes ;55g;El Rey ;;2600;productos/en0al6ukylshxq8zaygh
Aceite ;1L;Gourmet ;;11900;productos/ktmxtrjc4kldz7romlyd
Aceite ;1L;Oleocali ;;6900;productos/hgm9g1csiijy7znguwjo
Aceite ;1L;Premier ;;10900;productos/hujskcalnblymlsrcc1e
Aceite ;500ml;El Purisimo ;;3900;productos/rra0wfba5et67tqqd1dq
Aceite ;500ml;Gourmet ;;6200;productos/vdx41uqkr70xna21v9ff
Aceite ;500ml;Premier ;;5900;productos/ajuzbjbydqkiohu0tjmw
Aceite ;500ml;Riquisimo ;;3900;productos/wm1srl31qvs5ukwasrak
Aceite ;1L;Bon Life;Soya ;6300;productos/hccqpcf5hvzuctcuqmcp
Aceite ;1L;Riquisimo ;;9900;productos/qqkphdu5qew3uo0lggrk
Aceite ;500ml;Mazorca de Oro ;;3900;productos/y3iorpohgqglykrzxqtr
Acetaminofen;500mg;MK;Adultos;7290;productos/xj5oqaoaw2xlsve01gmt
Acetaminofen;100 Tabletas;La Sante;;7000;productos/zzwchl047cc3leir1i1u
Achiras ;30g ;Ramo;;1200;productos/m4rukrbwmxbuyibaoxu4
Advil;10 Capsulas;Advil;Fastgel Liquid;11150;productos/muvtgbc5ycs8a0msfld2
Advil;10 Capsulas;Advil;Ultra;10090;productos/hb4cojntvlj5x8sqdben
Advil;20 Capsulas;Advil;Capsulas Liquidas;12520;productos/cw4fat1dgwk7w232pizk
Advil;24 Tabletas;Advil;Dolor y Fiebre;15100;productos/hboxobxszz2rfh8lqnpt
Advil ;10 Capsulas;Advil;Max;10900;productos/gkp3gvymo151gnftliqx
Agua;5L;Cristal;Sin Gas ;5800;productos/ijfbfbo25poerxin06ft
Agua;600ml;Cristal;Con Gas ;2200;productos/q19yrse4wbuwxydiegpz
Agua;620ml;Cielo ;Sin Gas ;1800;productos/xzngh8xpnupuyzet35z1
Agua;600ml;Cristal;Sin Gas ;2200;productos/eifikoiifjfjeslbvrkc
Agua;600ml;Manantial;Sin Gas ;2200;productos/e9ciggbiztewnj1ldvvo
Agua ;600ml;Brisa ;Sin Gas ;2200;productos/wfcrj1duehac6df7eumi
Agua ;600ml;Manantial;Con Gas ;2200;productos/xhfkkrikjimgiyb4bpiw
Agua Oxigenada;120ml;Jgb;Antiseptico;2700;productos/jv7pdsu9tl7kg0mzrp7v
Agua Saborizada ;600ml;H2OH;Lima Limon ;2500;productos/towsqm8drhaa6sqzrrnz
Agua Saborizada ;600ml;H2OH;Maracuya;2500;productos/cujduw64txo73jsvlap5
Agua Saborizada ;600ml;H2OH;Frutos Tropicales ;2500;productos/emt0br6k9jy1jrbnku1y
Agua Tonica ;300ml;Canada Dry ;;1600;productos/hgb1em7flgy6jw80fzdm
Aguardiente ;375ml;180;Sin Azucar ;11600;productos/utperkqgxvwjoi1irxgh
Aguardiente ;750ml;Nectar;Rojo;20100;productos/nhndzmhqsmdo2nivcsug
Aguardiente ;375ml;Nectar;Azul Sin Azucar;18100;productos/kv7h0bwxtkl9ahkee5cw
Aguardiente ;375ml;Nectar;Rojo;13400;productos/qgbb6v51jri1c0jrobzu
Aguardiente ;750ml;Cristal;;22100;productos/otjrhzshzc0yhvw6nma6
Aguardiente ;750ml;Nectar;Azul Sin Azucar;23600;productos/n5s3y0ux3j3hyffeo8eq
Aguardiente ;750ml;Nectar;Club Verde;13400;productos/dx1lhlbw08zw7wlrfqin
Aguardiente ;1000ml;Nectar;Azul Sin Azucarn Caja;38900;productos/crw9hggmzjvj8vxmbiqp
Aguardiente ;1000ml;Nectar;Club Verde;31900;productos/dw0xndwd8ao2x4rjgobb
Aguardiente ;1000ml;Nectar;Rojo;31900;productos/ruje368tmodn6wdbhpzm
Aguardiente ;250ml;Nectar;Azul Sin Azucar Caja;7500;productos/jqqthrmwwf00vjwk5o2z
Aguardiente ;250ml;Nectar;Club Verde Caja;7500;productos/agjycne1q5ujwcnj0yls
Aguardiente ;250ml;Nectar;Rojo Caja;7500;productos/onw2d2jt52jzcrhvxfum
