nombre,presentacion,marca,diferenciador,precio,imagen
Aceite ,1L,Gourmet ,,11900,productos/jmytxmuhbcs2xo5gs0me
Aceite ,1L,Oleocali ,,6900,productos/jlwe4x68zlmvupvwvua9
Aceite ,1L,Premier ,,10900,productos/k2qtxwiujq5zlydribze
Aceite ,500ml,El Purisimo ,,3900,productos/vaq1z48i6wlqrdshnn1d
Aceite ,500ml,Gourmet ,,6200,productos/sqn5zxotwndm9jj75jon
Aceite ,500ml,Premier ,,5900,productos/deqv1ew4adih5l4wjcwj
Aceite ,500ml,Riquisimo ,,3900,productos/qo43dtmbwpk6cqexrzfv
Acetaminofen,500mg,MK,Adultos,7290,productos/ab4maujz5d1aoagrso54
Advil ,10 Capsulas,Advil,Max,10900,productos/vycrbdixwhcm0urarvwl
Advil,10 Capsulas,Advil,Fastgel Liquid,11150,productos/yznskx4fzrggrbqsf4no
Advil,10 Capsulas,Advil,Ultra,10090,productos/soaragtlpdecaif9ziqc
Agua ,600ml,Brisa ,Sin Gas ,2200,productos/zuvmo5oefbdvqtjjr6qt
Agua ,600ml,Manantial,Con Gas ,2200,productos/th2b9n35lmdxn8m2xnwy
Agua Oxigenada,120ml,Jgb,Antiseptico,2700,productos/cnditrnabehsfd5yv5js
Agua Saborizada ,600ml,H2OH,Lima Limon ,2500,productos/j7lmsgxjmybjegmo3uqr
Agua Saborizada ,600ml,H2OH,Maracuya,2500,productos/ngwo39veud7tyepvrtnc
Agua,1.5L,Manantial,Sin Gas ,3700,productos/jfjga1ehb4phcipn1kxq
Agua,5L,Cristal,Sin Gas ,5800,productos/djcnbafba7yrdxyzsrtu
Agua,600ml,Cristal,Con Gas ,2200,productos/lipxwoltyxoxycepkl2z
Agua,620ml,Cielo ,Sin Gas ,1800,productos/s4yyzrk6g53jvd1xfjwu
Aguardiente ,375ml,180,Sin Azucar ,11600,productos/orjky3hp4ji1irwhyncu
Aguardiente ,750ml,Nectar,Rojo,20100,productos/qnhuli8dxujqf0hzscbu
Ajo,55g,El Rey ,,1500,productos/oixunygcqlbw4wnciuta
Alcohol,350ml,MK,Antiseptico,2260,productos/iymvoceiiielrkxoez4q
Algodon,25g,MK,Zig-Zag,850,productos/dyhm255pbuforzp9pxjw
Alka-Seltzer,12 Tabletas,Bayer,Original,8270,productos/d7prnexm51b7gte6ozzh
Alka-Seltzer,8 Sobres,Bayer,Extreme,8300,productos/xz3xgzid7ydsk9zblpbh
Aloe Vera ,500ml,Tamesis ,,3900,productos/eyyd18f4bvypemhpqavu
Aperitivo,750ml,Convier,Triple Sec,37000,productos/sxxh67irh9xfjkg4ah4x
Arepas ,5u,Don Maiz ,Arepa Paisa ,6300,productos/xftcff2gfwmm8p9lbbg0
Arequipe ,250g,Alpina ,,4700,productos/pvd9bt6pqwwe6bfyiyfb
Arequipe ,500g,Alpina ,,8900,productos/dniskfeuetznv0kpsdjl
Arequipe ,50g,Alpina ,,1500,productos/axhdrhgksqdklvjlwiby
Ariel,900g,Ariel,Doble Poder,8100,productos/vr7nocadmp6g9gfmn0jj
Aromatica ,20u,Hindu ,Cidron ,3200,productos/ostzy906n0czm7eanspv
Aromatica ,20u,Hindu ,Hierbabuena ,3200,productos/eknsmv4snngjk1olszky
Aromatica ,20u,Hindu ,Manzanilla ,3200,productos/rxzrwnfgcehrg2gszaze
Arroz ,1K,Florhuila ,,4300,productos/gysnycbfusofojkfoajm
Arroz ,500g,Roa,,4300,productos/i0oxv85rm91qh8ltblp5
Arvejas ,195g,Zenu,,4900,productos/qop8krqcjrchdcvotfbe
Shampoo,200ml,Johnson's,Baby Shampoo,9900,productos/tjyc8sgathiyfg1r9sgl
Aspirina,100mg,Bayer,Acido Acetilsalicilico,9320,productos/m9qubibubnhugs64se3x
Aspirina,500mg,Bayer,Efervescente,9300,productos/zkssdebm88nsflflad4j
Atun ,110g,Alamar,En Aceite ,4700,productos/dhagikijznnzmm10ue1q
Atun ,110g,Alamar,En Agua,4700,productos/f56uatoxmy0b8tsgukxq
Atun ,110g,Vikingos ,Agua,4500,productos/cafcuar82vwm7e6zs79e
Atun ,170g,Isabel,Aceite Trozos de Atun,4400,productos/ogk8q618ca5ndyfqvujf
Atun ,175g,Isabel,Lomitos en Aceite ,4400,productos/nkurzlampcfxai5oiqoq
Atun ,184g,Van Camps ,Lomitos Aceite ,5200,productos/sqwoqny2utu9lyvz6pya
Atun ,184g,Van Camps ,Lomitos Agua ,5200,productos/qdsbqkalulhcr5u1y9n8
Atun ,3u,Van Camps ,Aceite de Oliva ,10900,productos/puz7aou3kddy6rtionqs
Atun ,3u,Van Camps ,Lomitos Agua ,9900,productos/qgyuuegvgw5kow7g0sd5
Avena,250g,Alpina,Finesse ,2500,productos/minw00wzlnlifuarqg5e
Avena,250g,Alpina,Natural,2500,productos/xjebnyedpkycwgmpwbln
Jabon Cocina ,500g,Axion,Limon,3990,productos/nrkuewuoyuszmgnhyrff
Jabon Cocina ,900g,Axion,Limon,7650,productos/ozillee26adtpyth5wu3
Azucar ,1K,Manuelita ,,3900,productos/auexobdmhrhzx3sughmk
Azucar,500g,Incauca ,Blanca ,1700,productos/xwwrduyd1x3awzbv0f1e
Azucar,500g,Incauca ,Morena ,1700,productos/yybm5jjh0itoldipdyzk
Barquillos,45 g,Piazza,Vainilla ,1600,productos/u0aqpjuli604gp9tznly
Barra de Cereal ,23g ,Tosh ,Avena y Almendras ,1900,productos/rntxjt98j0wze75xzkkn
Barra de Cereal ,23g ,Tosh ,Chocolate ,1900,productos/va4p5pkbwnj7zs6jf3rd
Barra de Cereal ,23g ,Tosh ,Con Nueces ,1900,productos/v4qhwnsxe2l1mohhjhz2
Barra de Cereal ,23g ,Tosh ,Fresa,1900,productos/d5pgguxrq2phcu3tgcpe
Barra de Cereal ,23g ,Tosh ,Mani y Pasas ,1900,productos/cumzqeucuw2iim1c0e0e
Base de Salsa ,50g,Maggi,Bolognesa ,3500,productos/ldzri5hpbztrsi7hcogw
Base de Salsa ,50g,Maggi,Carbonara ,3500,productos/i6zff962xuupwer9qjzk
Base,50g,Maggi,Carne Desmechada ,3200,productos/b8veig806dqvnu15rwyt
Bebida en Polvo ,175g,Instacrem,Light ,6700,productos/wws57vro4qxmp8ukq0po
Bebida en Polvo ,200g,Chocolisto ,Chocolate ,3600,productos/yjvk4wfxavogs2izcyba
Bebida en Polvo ,200g,Milo ,,7500,productos/z0jzhq5licrotihuswdf
Bebida en Polvo ,200g,Nesquik,Chocolate,4700,productos/un6fc0ooegjbgdjr8iyo
Bebida en Polvo ,30g ,Suntea ,Te Limon ,2500,productos/oswnakp61wx0yo6ji152
Bebida en Polvo ,30g ,Suntea ,Te Maracuya ,2500,productos/tpauasvrfdan7w3c1wva
