nombre,presentacion,marca,diferenciador,precio,imagen
Aceite ,1L,Gourmet ,,11900,Aceite 1LGourmet .jpg
Aceite ,1L,Oleocali ,,6900,Aceite 1LOleocali .jpg
Aceite ,1L,Premier ,,10900,Aceite 1LPremier .jpg
Aceite ,500ml,El Purisimo ,,3900,Aceite 500mlEl Purisimo .jpg
Aceite ,500ml,Gourmet ,,6200,Aceite 500mlGourmet .jpg
Aceite ,500ml,Premier ,,5900,Aceite 500mlPremier .jpg
Aceite ,500ml,Riquisimo ,,3900,Aceite 500mlRiquisimo .jpg
Acetaminofen,500mg,MK,Adultos,7290,Acetaminofen500 mgMKAdultos.jpg
Advil ,10 Capsulas,Advil,Max,10900,Advil 10u AdvilMax.jpg
Advil,10 Capsulas,Advil,Fastgel Liquid,11150,Advil10 CapsulasWyeth CHCFastgel Liquid.jpg
Advil,10 Capsulas,Advil,Ultra,10090,Advil10 CapsulasWyeth CHCUltra.jpg
Agua ,600ml,Brisa ,Sin Gas ,2200,Agua 600mlBrisa Sin Gas .jpg
Agua ,600ml,Manantial,Con Gas ,2200,Agua 600mlManantialCon Gas .jpg
Agua Oxigenada,120ml,Jgb,Antiseptico,2700,Agua Oxigenada120 mlJgbAntiseptico.jpg
Agua Saborizada ,600ml,H2OH,Lima Limon ,2500,Agua Saborizada 600mlH2OHLima Limon .jpg
Agua Saborizada ,600ml,H2OH,Maracuya,2500,Agua Saborizada 600mlH2OHMaracuya.jpg
Agua,1.5L,Manantial,Sin Gas ,3700,Agua1,5LManantialSin Gas .jpg
Agua,5L,Cristal,Sin Gas ,5800,Agua5LCristalSin Gas .jpg
Agua,600ml,Cristal,Con Gas ,2200,Agua600mlCristalCon Gas .jpg
Agua,620ml,Cielo ,Sin Gas ,1800,Agua620mlCielo Sin Gas .jpg
Aguardiente ,375ml,180,Sin Azucar ,11600,Aguardiente 375ml180Sin Azucar .jpg
Aguardiente ,750ml,Nectar,Rojo,20100,Aguardiente 750mlNectarRojo.jpg
Ajo,55g,El Rey ,,1500,Ajo55gEl Rey .jpg
Alcohol,350ml,MK,Antiseptico,2260,Alcohol350 mlMKAntiseptico.jpg
Algodon,25g,MK,Zig-Zag,850,Algodon25 gMKZig-Zag.jpg
Alka-Seltzer,12 Tabletas,Bayer,Original,8270,Alka-Seltzer12 TabletasBayerOriginal.jpg
Alka-Seltzer,8 Sobres,Bayer,Extreme,8300,Alka-Seltzer8 SobresBayerExtreme.jpg
Aloe Vera ,500ml,Tamesis ,,3900,Aloe Vera 500mlTamesis .jpg
Aperitivo,750ml,Convier,Triple Sec,37000,Aperitivo750mlConvierTriple Sec.jpg
Arepas ,5u,Don Maiz ,Arepa Paisa ,6300,Arepas 5uDon Maiz Arepa Paisa .jpg
Arequipe ,250g,Alpina ,,4700,Arequipe 250gAlpina .jpg
Arequipe ,500g,Alpina ,,8900,Arequipe 500gAlpina .jpg
Arequipe ,50g,Alpina ,,1500,Arequipe 50gAlpina .jpg
Ariel,900g,Ariel,Doble Poder,8100,Ariel900 gArielDoble Poder.jpg
Aromatica ,20u,Hindu ,Cidron ,3200,Aromatica 20uHindu Cidron .jpg
Aromatica ,20u,Hindu ,Hierbabuena ,3200,Aromatica 20uHindu Hierbabuena .jpg
Aromatica ,20u,Hindu ,Manzanilla ,3200,Aromatica 20uHindu Manzanilla .jpg
Arroz ,1K,Florhuila ,,4300,Arroz 1KFlorhuila .jpg
Arroz ,500g,Roa,,4300,Arroz 500gRoa.jpg
Arvejas ,195g,Zenu,,4900,Arvejas 195gZenu.jpg
Shampoo,200ml,Johnson's,Baby Shampoo,9900,Aseo PersonalShampoo200mlJohnson'sBaby Shampoo.jpg
Aspirina,100mg,Bayer,Acido Acetilsalicilico,9320,Aspirina100 mgBayerAcido Acetilsalicilico.jpg
Aspirina,500mg,Bayer,Efervescente,9300,Aspirina500 mgBayerEfervescente.jpg
Atun ,110g,Alamar,En Aceite ,4700,Atun 110gAlamarEn Aceite .jpg
Atun ,110g,Alamar,En Agua,4700,Atun 110gAlamarEn Agua.jpg
Atun ,110g,Vikingos ,Agua,4500,Atun 110gVikingos Agua.jpg
Atun ,184g,Van Camps ,Lomitos Aceite ,5200,Atun 184gVan Camps Lomitos Aceite .jpg
Atun ,184g,Van Camps ,Lomitos Agua ,5200,Atun 184gVan Camps Lomitos Agua .jpg
Atun ,3u,Van Camps ,Aceite de Oliva ,10900,Atun 3uVan Camps Aceite de Oliva .jpg
Atun ,3u,Van Camps ,Lomitos Agua ,9900,Atun 3uVan Camps Lomitos Agua .jpg
Avena,250g,Alpina,Finesse ,2500,Avena250 gAlpinaFinesse .jpg
Avena,250g,Alpina,Natural,2500,Avena250 gAlpinaNatural.jpg
Jabon Cocina ,500g,Axion,Limon,3990,Axion500 gAxionLimon.jpg
Jabon Cocina ,900g,Axion,Limon,7650,Axion900 gAxionLimon.jpg
Azucar ,1K,Manuelita ,,3900,Azucar 1KManuelita .jpg
Azucar,500g,Incauca ,Blanca ,1700,Azucar500gIncauca Blanca .jpg
Azucar,500g,Incauca ,Morena ,1700,Azucar500gIncauca Morena .jpg
Barquillos,45 g,Piazza,Vainilla ,1600,Barquillos45 gPiazzaVainilla .jpg
Barra de Cereal ,23g ,Tosh ,Avena y Almendras ,1900,Barra de Cereal 23g Tosh Avena y Almendras .jpg
Barra de Cereal ,23g ,Tosh ,Chocolate ,1900,Barra de Cereal 23g Tosh Chocolate .jpg
Barra de Cereal ,23g ,Tosh ,Con Nueces ,1900,Barra de Cereal 23g Tosh Con Nueces .jpg
Barra de Cereal ,23g ,Tosh ,Fresa,1900,Barra de Cereal 23g Tosh Fresa.jpg
Barra de Cereal ,23g ,Tosh ,Mani y Pasas ,1900,Barra de Cereal 23g Tosh Mani y Pasas .jpg
Base de Salsa ,50g,Maggi,Bolognesa ,3500,Base de Salsa 50gMaggiBolognesa .jpg
Base de Salsa ,50g,Maggi,Carbonara ,3500,Base de Salsa 50gMaggiCarbonara .jpg
Base,50g,Maggi,Carne Desmechada ,3200,Base50gMaggiCarne Desmechada .jpg
Bebida en Polvo ,175g,Instacrem,Light ,6700,Bebida en Polvo 175gInstacremLight .jpg
Bebida en Polvo ,200g,Chocolisto ,Chocolate ,3600,Bebida en Polvo 200gChocolisto .jpg
Bebida en Polvo ,200g,Milo ,,7500,Bebida en Polvo 200gMilo .jpg
Bebida en Polvo ,200g,Nesquik,Chocolate,4700,Bebida en Polvo 200gNesquikChocolate.jpg
Bebida en Polvo ,30g ,Suntea ,Te Limon ,2500,Bebida en Polvo 30g Suntea Te Limon .jpg
